roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,winner,id,name,international_id
1130,774,8887.565617,31.39247374,51.30486586,,,,
1131,1079,20333.95845,37.06515168,45.7108609,mix,25.0,mix,
1132,30665,662016.9375,197.5952698,1251.256181,mix,25.0,mix,
1133,500,5135.758789,25.23132522,34.24833129,mix,25.0,mix,
1134,227,2351.482101,17.00074636,17.4543987,mix,25.0,mix,
1136,228,1828.406924,17.03815178,20.35762025,mix,25.0,mix,
1138,672,7616.005990000001,29.25093117,45.12923895,,,,
1139,223,1644.538696,16.85029431,22.83996466,mix,25.0,mix,
1141,238,2318.495378,17.40778595,19.90186175,mix,25.0,mix,
1142,205,1943.075056,16.15593101,17.48945533,mix,25.0,mix,
1143,388,3450.959717,22.22649193,28.189973600000002,,,,
1144,441,4675.475267,23.69596251,31.31814038,,,,
1145,218,2000.4091219999998,16.66031875,17.66130988,mix,25.0,mix,
1147,224,1679.230957,16.88803298,21.70588209,mix,25.0,mix,
1148,338,3146.305043,20.74499858,26.84990622,mix,25.0,mix,
1149,390,4165.751859,22.28370307,27.43643512,mix,25.0,mix,
1150,489,6159.092396999999,24.95223712,31.184290899999997,mix,25.0,mix,
1151,241,2235.243173,17.51715531,19.63910805,detritus,23.0,detritus,
1152,301,2762.245341,19.57664688,24.46871521,mix,25.0,mix,
1153,212,1774.214451,16.42944867,19.60235831,mix,25.0,mix,
1154,224,1877.887009,16.88803298,19.55839882,Guinardia,,,
1155,790,10349.1916,31.71528402,46.72867975,,,,
1158,222,1784.4246269999999,16.81247093,20.5858647,,,,
1159,611,6605.9839520000005,27.89174361,41.96943027,ciliate_mix,,,
1160,301,2282.3670629999997,19.57664688,29.97443124,mix,25.0,mix,
1161,343,2854.352783,20.89787463,31.40273727,mix,25.0,mix,
1162,1732,40540.6824,46.96009893,63.15194126,mix,25.0,mix,
1163,238,2633.440042,17.40778595,19.21764993,mix,25.0,mix,
1166,476,4642.163086,24.61832698,36.85623639,mix,25.0,mix,
1167,218,2011.404696,16.66031875,19.23008818,mix,25.0,mix,
1168,210,2355.4090920000003,16.35176762,18.7459513,,,,
1169,234,2002.765317,17.26088218,20.13230358,mix,25.0,mix,
1170,239,1736.505005,17.44431859,22.949483100000002,,,,
1171,675,7465.209543000001,29.31615071,46.02681861,mix,25.0,mix,
1172,708,11936.48129,30.02421685,32.5576848,mix,25.0,mix,
1173,1578,43255.01845,44.82378834,46.39414685,,,,
1174,516,5367.411049,25.63184748,36.60575054,mix,25.0,mix,
1175,243,2256.448923,17.58969043,21.36773011,mix,25.0,mix,
1176,225,1896.736565,16.92568751,19.18931673,mix,25.0,mix,
1179,1201,8602.395508,39.10448431,146.5822302,mix,25.0,mix,
1180,490,4086.4266439999997,24.97773763,43.32763596,,,,
1181,222,1927.367093,16.81247093,18.72638668,mix,25.0,mix,
1182,215,1719.23658,16.5452864,20.08724046,Guinardia,,,
1184,250,1785.210025,17.84124116,25.70383689,,,,
1185,268,2103.834229,18.47236309,23.39810836,mix,25.0,mix,
1186,266,1667.400301,18.40330728,30.30828161,Licmophora,34.0,Licmophora,149342.0
1187,225,2127.643625,16.92568751,17.79932102,mix,25.0,mix,
1188,212,1948.572843,16.42944867,19.28448599,,,,
1189,273,2879.269667,18.643883600000002,19.47606394,,,,
1190,699,7994.567905,29.83277462,46.20130609,,,,
1191,532,7771.514827,26.02620675,27.95698257,mix,25.0,mix,
1192,390,3348.937769,22.28370307,33.64737099,detritus,23.0,detritus,
1196,447,6124.534878,23.85661494,24.91165067,,,,
1197,608,7218.594520000001,27.82318535,40.98655398,,,,
1198,378,3108.605931,21.93819837,33.47547279,mix,25.0,mix,
1199,294,2465.3648350000003,19.34767237,25.96736895,,,,
1200,243,3016.714346,17.58969043,19.903996,,,,
1201,462,4678.30127,24.25359086,32.9064489,,,,
1203,8460,63220.515620000006,103.7863505,817.6216218,mix,25.0,mix,
1207,199,1553.517567,15.917747,18.33152618,mix,25.0,mix,
